question,answer,explanation,a,b,c,d,e,f,source
"In the context of the basic philosophy of the 
constitution, which of the following is/are 
the functions of a constitution? 
1. It provides a set of basic rules that allow 
for coordination among members of 
society. 
2. It specifies who has powers to make 
decisions in a society. 
3. It sets limits on what a government can 
impose on its citizens. 
Select the correct answer using code given 
below. 
(a) 1 only 
(b) 1 and 2 only 
(c) 2 and 3 only 
(d) 1, 2 and 3",d,"• 
Constitution can be broadly defined as the basic principles and laws of a nation, state, or social group that 
determine the powers and duties of the government and guarantee certain rights to the people in it. 
• 
Basic functions of a constitution 
o 
Any group will need some basic rules that are publicly promulgated and known to all members of that 
group to achieve a minimal degree of coordination. But these rules must not only be known, they must 
also be enforceable. If citizens have no assurance that others will follow these rules, they will 
themselves have no reason to follow these rules 
▪ 
Thus, It provides a set of basic rules that allow for minimal coordination amongst members 
of a society. 
o 
The constitution specifies who has the power to make decisions in a society. It decides how the 
government will be constituted. 
o 
Constitution also sets some limits on what a government can impose on its citizens. These limits 
are fundamental in the sense that government may never trespass them. 
o 
Constitution also enables the government to fulfil the aspirations of a society and create conditions for 
a just society. 
• 
Hence option (d) is the correct answer.",1 only ,1 and 2 only ,2 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"'The claims of the members of the Scheduled 
Castes and the Scheduled Tribes shall be 
taken into consideration, consistently with 
the 
maintenance 
of 
efficiency 
of 
administration, 
in 
the 
making 
of 
appointments to services and posts in 
connection with the affairs of the Union or a 
State'. This provision was provided in the 
Indian Constitution under:  
(a) Part IV 
(b) Part III 
(c) Part XVI 
(d) Part XVII",c,"• 
DIRECTIVES OUTSIDE PART IV: Apart from the Directives included in Part IV, there are some 
other Directives contained in other parts of the Constitution. They are: 
o 
Claims of SCs and STs to Services: The claims of the members of the Scheduled Castes and the 
Scheduled Tribes shall be taken into consideration, consistently with the maintenance of 
efficiency of administration, in the making of appointments to services and posts in connection 
with the affairs of the Union or a State (Article 335 in Part XVI). 
o 
Instruction in mother tongue: It shall be the endeavor of every state and every local authority within 
the state to provide adequate facilities for instruction in the mother tongue at the primary stage of 
education to children belonging to linguistic minority groups (Article 350-A in Part XVII). 
o 
Development of the Hindi Language: It shall be the duty of the Union to promote the spread of the 
Hindi language and to develop it so that it may serve as a medium of expression for all the elements 
of the composite culture of India (Article 351 in Part XVII). 
• 
The above Directives are also non-justiciable in nature. However, they are also given equal importance 
and attention by the judiciary on the ground that all parts of the constitution must be read together.  
• 
Hence, option (c) is the correct answer.",Part IV ,Part III ,Part XVI ,Part XVII  ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following are the features of 
fundamental rights? 
1. They strike a balance between individual 
liberty and social control. 
2. There are some fundamental rights that 
are available against the arbitrary action 
of private individuals. 
3. There are some fundamental rights that 
are available only to the citizens. 
4. All the fundamental rights are self-
executory. 
Select the correct answer using the code 
given below. 
(a) 1, 2 and 3 only  
(b) 2 and 4 only 
(c) 1 and 3 only 
(d) 1, 2, 3 and 4",a,"• 
FEATURES OF FUNDAMENTAL RIGHTS  
o 
The Fundamental Rights guaranteed by the Constitution are characterized by the following:  
▪ 
Some of them are available only to citizens while others are available to all persons whether 
citizens, foreigners, or legal persons like corporations or companies. Hence, the statement 3 
is correct. 
▪ 
They are not absolute but qualified. The state can impose reasonable restrictions on them. 
However, whether such restrictions are reasonable or not is to be decided by the courts. Thus, 
they strike a balance between the rights of the individual and those of the society as a whole, 
between individual liberty and social control. Hence, statement 1 is correct. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
2                                                                              www.visionias.in                                                   ©Vision IAS  
▪ 
All of them are available against the arbitrary action of the state. However, some of them are 
also available against the action of private individuals. Hence, statement 2 is correct. 
▪ 
Some of them are negative in character, that is, place limitations on the authority of the State, 
while others are positive in nature, conferring certain privileges on the persons.  
▪ 
They are justiciable, allowing persons to move the courts for their enforcement, if and when they 
are violated.  
▪ 
They are defended and guaranteed by the Supreme Court. Hence, the aggrieved person can 
directly go to the Supreme Court, not necessarily by way of appeal against the judgment of the 
high courts.  
▪ 
They are not sacrosanct or permanent. The Parliament can curtail or repeal them but only by a 
constitutional amendment act and not by an ordinary act. Moreover, this can be done without 
affecting the ‘basic structure’ of the Constitution. 
▪ 
They can be suspended during the operation of a National Emergency except for the rights 
guaranteed by Articles 20 and 21. Further, the six rights guaranteed by Article 19 can be 
suspended only when an emergency is declared on the grounds of war or external aggression (i.e., 
external emergency) and not on the ground of armed rebellion (i.e., internal emergency).  
▪ 
Their scope of operation is limited by Article 31A (saving of laws providing for the 
acquisition of estates, etc.), Article 31B (validation of certain acts and regulations included 
in the 9th Schedule), and Article 31C (saving of laws giving effect to certain directive 
principles).  
▪ 
Their application to the members of armed forces, para-military forces, police forces, intelligence 
agencies, and analogous services can be restricted or abrogated by the Parliament (Article 33).  
▪ 
Their application can be restricted while martial law is in force in any area. Martial law means 
‘military rule’ imposed under abnormal circumstances to restore order (Article 34). It is different 
from the imposition of a national emergency.  
▪ 
Most of them are directly enforceable (self-executory) while a few of them can be enforced 
on the basis of a law made for giving effect to them. Such a law can be made only by the 
Parliament and not by state legislatures so that uniformity throughout the country is 
maintained (Article 35). Hence, statement 4 is not correct.","1, 2 and 3 only  ",2 and 4 only ,1 and 3 only ,"1, 2, 3 and 4 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With 
reference 
to 
Ayushman 
Bharat- 
Pradhan 
Mantri 
Jan 
Arogya 
Yojana 
(PMJAY), 
consider 
the 
following 
statements: 
1. It is the world’s largest government-
funded healthcare program. 
2. The beneficiaries under the scheme will 
be identified on the basis of the Socio-
Economic Caste Census, 2011. 
3. National Health Authority (NHA) is the 
nodal agency for its implementation. 
Which of the statements given above are 
correct? 
(a) 1 and 2 only 
(b) 2 and 3 only 
(c) 1 and 3 only 
(d) 1, 2 and 3",d,"• 
With an objective to shift the focus of measuring the performance of hospitals from the volume of 
services provided to the value of healthcare services, National Health Authority (NHA) is introducing 
a new system to measure and grade hospital performance under the flagship scheme Ayushman 
Bharat Pradhan Mantri Jan Arogya Yojana (AB PM-JAY). 
• 
The new initiative will introduce the concept of ‘value-based care’, where payment will be outcome-
based and providers will be rewarded according to quality of treatment delivered. 
• 
AB PMJAY is a centrally sponsored health assurance scheme. It provides a cover of up to Rs. 5 lakhs 
per family per year for secondary and tertiary care hospitalization. This is the “world’s largest 
government-funded healthcare program” targeting more than 50 crore beneficiaries. Hence, 
statement 1 is correct. 
• 
It provides cashless and paperless access to services for beneficiaries at point of service. Beneficiary 
families have been identified from Socio-Economic Caste Census, 2011. Hence, statement 2 is 
correct. 
• 
National Health Authority (NHA) is the apex body responsible for implementing India’s flagship 
public health insurance/assurance scheme called “Ayushman Bharat Pradhan Mantri Jan Arogya 
Yojana” & has been entrusted with the role of designing strategy, building technological infrastructure, 
and implementing of “National Digital Health Mission” to create a National Digital Health Eco-
system. Hence, statement 3 is correct. 
• 
National Health Authority is the successor of the National Health Agency, which was functioning as 
a registered society under the Societies Registration Act, 1860 since 23rd May 2018. Pursuant to 
Cabinet decision for full functional autonomy, National Health Agency was reconstituted as the National 
Health Authority.",1 and 2 only ,2 and 3 only ,1 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements regarding 
the recently released Global Economic 
Prospects report: 
1. It is released by International Monetary 
Fund. 
2. It is released once a year. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
3  
 www.visionias.in  
 ©Vision IAS",d,"• 
Global Economic Prospects, a flagship report (issued twice a year) was recently released by World 
Bank. Hence statements 1 and 2 are not correct. 
• 
It examines global economic developments and prospects, with a special focus on emerging markets 
and developing economies (EMDEs). 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
3                                                                              www.visionias.in                                                   ©Vision IAS  
• 
Key Projections: 
o 
Global GDP Growth: 1.7% in 2023 - third-weakest pace since 1993, overshadowed only by 2009 and 
2020 global recessions. 
o 
India is expected to grow at 6.6% in 2023. 
o 
Reasons for the slowdown: Elevated Inflation, Higher interest rates, reduced investment and 
disruptions caused by Russia-Ukraine war. 
o 
Any additional adverse shocks could push the global economy into recession. 
o 
Recession is a significant, pervasive, and persistent decline in economic activity – at least for two 
consecutive quarters of negative GDP for most analyses.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following pairs:
Schedule 
Provisions 
1. 4th Schedule 
: Allocation of seats in
the Rajya Sabha to the 
states and the Union 
Territories 
2. 6th Schedule 
: Provisions relating to
the administration and 
control of Scheduled 
Areas 
3. 10th Schedule 
: Provisions relating to
disqualification of the 
members 
of 
the 
Parliament  
Which of the pairs given above is/are 
correctly matched?  
(a) 1 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",c,"• 
Schedule 4 deals with the allocation of seats in the Rajya Sabha to the states and the union 
territories. It covers articles 4 and 80. Hence pair 1 is correctly matched.  
• 
Schedule 5 deals with provisions relating to the administration and control of scheduled areas and 
scheduled tribes.  
• 
Schedule 6 deals with provisions relating to the administration of tribal areas in the states of Assam, 
Meghalaya, Tripura and Mizoram. Hence pair 2 is not correctly matched. 
• 
10th Schedule deals with the provisions relating to disqualification of the members of Parliament and 
State Legislatures on the ground of defection. This schedule was added by the 52nd Amendment Act of 
1985, also known as Anti-defection Law. Hence pair 3 is correctly matched.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following is/are Ozone
Depleting Substances (ODS)?",d,"• 
Recently, a report titled “Scientific Assessment of Ozone Depletion: 2022” was prepared in 
coordination with WMO, UNEP, National Oceanic and Atmospheric Administration (NOAA), NASA, 
and European Commission. 
• 
Key observations of the report: 
o 
Actions taken under Montreal Protocol contribute to ozone recovery in the upper stratospheric layer. 
o 
If current policies remain in place, the ozone layer is expected to recover to 1980 values by 
around 2066 over the Antarctic, by 2045 over the Arctic, and by 2040 for the rest of the world. 
• 
Ozone-depleting substances are man-made gases that destroy ozone once they reach the ozone 
layer. The ozone layer sits in the upper atmosphere and reduces the amount of harmful ultraviolet 
radiation that reaches Earth from the sun. Ultraviolet radiation can have detrimental effects on both 
humans and the environment. For instance, inducing skin cancer and cataract distorts plant growth, 
and damages the marine environment. 
• 
Ozone-depleting substances include: 
o 
chlorofluorocarbons (CFCs) 
o 
hydrochlorofluorocarbons (HCFCs) 
o 
hydrobromoflurocarbons (HBFCs). Hence option 2 is correct. 
o 
halons 
o 
methyl bromide.  Hence option 1 is correct. 
o 
carbon tetrachloride.  Hence option 3 is correct. 
o 
methyl chloroform.  Hence option 4 is correct. 
• 
They have been used as: 
o 
refrigerants in commercial, home, and vehicle air conditioners and refrigerators 
o 
foam blowing agents 
o 
components in electrical equipment 
o 
industrial solvents 
o 
solvents for cleaning (including dry cleaning) 
o 
aerosol spray propellants 
o 
fumigants",,,,,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which 
one 
of 
the 
following
recommendations of the Swaran Singh
Committee 
is 
incorporated 
in 
the
Constitution under Fundamental duties?
(a) Empower Parliament to impose penalty
or punishment for the non-compliance
with any of the fundamental duties.
(b) Duty to defend the country and render
national service when called upon to do
so.
(c) Duty to pay taxes should be a
Fundamental duty of the citizens.
(d) No law imposing penalty or punishment
for the non-compliance with any of the
fundamental duties shall be called in
question in any court.",b,"• 
Swaran Singh Committee was set up in 1976 by the Congress government to provide suggestions on the 
inclusion of the Fundamental Duties in the Indian Constitution. The Congress Government at the Centre 
accepted these recommendations and enacted the 42nd Constitutional Amendment Act in 1976. This 
amendment added a new part, namely, Part IVA to the Constitution. This new part consists of only one 
Article, that is, Article 51A. 
• 
Though the Swaran Singh Committee suggested the incorporation of eight Fundamental Duties in the 
Constitution, the 42nd Constitutional Amendment Act (1976) included ten Fundamental Duties. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
4                                                                              www.visionias.in                                                   ©Vision IAS  
Interestingly, certain recommendations of the Committee were not accepted by the Congress Party and 
hence, not incorporated in the Constitution. 
• 
Certain recommendations of the  Swaran Singh Committee were not accepted and hence, not 
incorporated into the Constitution. This include: 
o 
The Parliament may provide for the imposition of such penalty or punishment as may be considered 
appropriate for any non-compliance with or refusal to observe any of the duties. Hence statement (a) 
is not correct. 
o 
No law imposing such penalty or punishment shall be called in question in any court on the ground of 
infringement of any of Fundamental Rights or on the ground of repugnancy to any other provision of 
the Constitution. Hence statement (d) is not correct. 
o 
Duty to pay taxes should also be a Fundamental Duty of the citizens. Hence statement (c) is not 
correct. 
• 
Duty to defend the country and render national service when called upon to do so is part of 
Fundamental duties under article 51A (d) of the constitution. Hence, option (b) is the correct 
answer.",Empower Parliament to impose penalty,Duty to defend the country and render,Duty to pay taxes should be a,No law imposing penalty or punishment,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following is not a function of
the Central Bureau of Investigation (CBI)?
(a) Investigating 
cases 
of 
corruption,
bribery, and misconduct of Central
government employees.
(b) Probe terror attacks including bomb
blasts, hijacking of aircraft and ships,
attacks on nuclear installations, and use
of weapons of mass destruction.
(c) Investigating serious crimes, having
national and international ramifications,
committed by organized gangs of
professional criminals.
(d) Maintaining 
crime 
statistics 
and
disseminating criminal information.
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
4                                                             www.visionias.in                                                                                      ©Vision IAS",b,"• 
The Central Bureau of Investigation (CBI) was set up in 1963 by a resolution of the Ministry of Home 
Affairs. Later, it was transferred to the Ministry of Personnel and now it enjoys the status of an attached 
office. The Special Police Establishment (which looked into vigilance cases) setup in 1941 was also 
merged with the CBI. The establishment of the CBI was recommended by the Santhanam Committee on 
Prevention of Corruption (1962–1964). The CBI is not a statutory body. It derives its powers from 
the Delhi Special Police Establishment Act, of 1946. 
• 
The functions of CBI are: 
o 
Investigating cases of corruption, bribery, and misconduct of Central government employees. 
Hence statement (a) is correct. 
o 
Investigating cases relating to infringement of fiscal and economic laws, that is, breach of laws 
concerning export and import control, customs and central excise, income tax, foreign exchange 
regulations, and so on. However, such cases are taken up either in consultation with or at the request 
of the department concerned. 
o 
Investigating serious crimes, having national and international ramifications, committed by 
organized gangs of professional criminals. Hence statement (c) is correct. 
o 
Coordinating the activities of the anticorruption agencies and the various state police forces 
o 
Taking up, on the request of a state government, any case of public importance for investigation. 
o 
Maintaining crime statistics and disseminating criminal information. Hence statement (d) is 
correct. 
• 
Probing terror attacks including bomb blasts, hijacking of aircraft and ships, attacks on nuclear 
installations, and use of weapons of mass destruction is the function of the National Investigation 
Agency. Hence option (b) is not correct.",Investigating ,Probe terror attacks including bomb,"Investigating serious crimes, having",Maintaining ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With reference to the Universal Serial Bus 
(USB) Type-C connector in news recently, 
consider the following statements: 
1. It is a double-sided connector with 
reversibility. 
2. It is not backward compatible with 
previous USB Types. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2  
(d) Neither 1 nor 2",c,"• 
The Bureau of Indian Standards (BIS) under the Ministry of Consumer Affairs has introduced 
standards for USB Type-C ports, plug, and cables used in electronic devices like mobile phones, 
laptops, etc. It aims to provide common charging solutions for various electronic devices sold in the 
country by March 2025. 
• 
Need for Common Charger: 
o 
To reduce the number of chargers per consumer, thus reducing e-waste in India 
o 
Ease out the technological ‘lock-in’ effect, whereby a consumer becomes dependent on a single 
manufacturer. 
• 
USB i.e., Universal Serial Bus (an industry standard) is used for connecting a wide variety of devices 
to a processor. 
o 
USB Types: USB-A is a flat and rectangular shape; USB-B has multiple designs, but the common 
shape is a square; and USB-C is a smaller rectangular with rounded corners. 
o 
In the EU by 2024, all mobile phones, tablets, and cameras will be sold with a USB Type-C 
charging port. 
• 
USB Type-C uses a 24-pin double-sided connector allowing device manufacturers to enable Alternate 
Mode, which unlocks the ability to use alternate data protocols for direct device-to-host transmission. This 
allows you to output VGA, HDMI, DisplayPort, Thunderbolt, Ethernet, or other types of connections 
from a single USB Type-C port with the help of compatible adapters. Hence, statement 1 is correct. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
5                                                                              www.visionias.in                                                   ©Vision IAS  
• 
The USB Type-C is a new reversible connector that allows you to connect the cable to your device in 
any direction, unlike its predecessors. 
• 
The physical USB-C connector isn’t backward compatible, but the underlying USB standard is. One 
can’t plug older USB devices into a modern, tiny USB-C port, nor can one connect a USB-C connector to 
an older, larger USB port. But that doesn’t mean one has to discard all your old peripherals. USB 3.1 
is still backward-compatible with older versions of USB, so one just needs a physical adapter with a 
USB-C connector on one end and a larger, older-style USB port on the other end. One can then plug 
your older devices directly into a USB Type-C port. Hence, statement 2 is correct. 
• 
It has the ability to use a single cable for data transfer, deliver video to a display, and power 
delivery, which are the key features of USB Type-C.",1 only ,2 only ,Both 1 and 2  ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
